,ages,list_price,num_reviews,piece_count,play_star_rating,prod_desc,prod_id,review_difficulty,set_name,star_rating,theme_name,val_star_rating,country,height,width,length
9262,10+,12.1878,2.0,105.0,3.0,9,41605.0,Easy,Thanos,5.0,BrickHeadz,5.0,LU,0.1578174700269146,0.1864448250550526,0.1846505179022918
9263,10+,12.1878,1.0,113.0,5.0,8,41606.0,Easy,Star-Lord,5.0,BrickHeadz,5.0,LU,0.1578174700269146,0.1864448250550526,0.1846505179022918
9264,10+,12.1878,1.0,136.0,4.337640663742107,11,41607.0,0.16760459995106436,Gamora,5.0,BrickHeadz,0.14639915178207324,LU,0.1578174700269146,0.1864448250550526,0.1846505179022918
9265,7-14,85.3878,6.0,492.0,4.7,10,76088.0,Average,Thor vs. Hulk: Arena Clash,4.3,Marvel Super Heroes,4.0,LU,7,15,2
9266,7-14,85.3878,7.0,375.0,4.1,8,76078.0,Easy,Hulk vs. Red Hulk,3.7,Marvel Super Heroes,2.3,LU,5,4,7
9267,7-14,67.0878,6.0,400.0,4.8,6,76084.0,Easy,The Ultimate Battle for Asgard,4.3,Marvel Super Heroes,4.5,LU,1,7,8
9268,7-14,54.8878,23.0,375.0,4.4,8,76083.0,Average,Beware the Vulture,4.6,Marvel Super Heroes,3.9,LU,2,2,5
9269,7-14,48.7878,7.0,358.0,4.7,8,76100.0,Average,Royal Talon Fighter Attack,4.7,Marvel Super Heroes,4.8,LU,2,6,8
9270,7-14,48.7878,10.0,377.0,4.8,11,76077.0,Easy,Iron Man: Detroit Steel Strikes,4.6,Marvel Super Heroes,4.3,LU,1,2,5
9271,6-12,36.5878,9.0,185.0,3.9,6,76082.0,Easy,ATM Heist Battle,3.9,Marvel Super Heroes,4.2,LU,3,3,3
9272,6-12,36.5878,6.0,229.0,4.4,9,76099.0,Easy,Rhino Face-Off by the Mine,4.7,Marvel Super Heroes,5.0,LU,3,2,5
9273,6-12,36.5878,10.0,160.0,3.9,7,76076.0,Easy,Captain America Jet Pursuit,3.7,Marvel Super Heroes,3.9,LU,1,7,7
9274,2-5,36.5878,16.82623813551358,38.0,4.337640663742107,9,10876.0,0.16760459995106436,Spider-Man & Hulk Adventures,0.13212625397602154,DUPLO®,0.14639915178207324,LU,9,4,1
9275,4-7,30.4878,1.0,125.0,5.0,9,10754.0,0.16760459995106436,Spider-Man vs. Scorpion Street Showdown,4.0,Juniors,4.0,LU,4,3,2
9276,5-12,12.1878,2.0,79.0,3.5,10,76091.0,Easy,Mighty Micros: Thor vs. Loki,3.5,Marvel Super Heroes,3.0,LU,1,2,2
9277,5-12,12.1878,16.82623813551358,86.0,4.337640663742107,8,76090.0,0.16760459995106436,Mighty Micros: Star-Lord vs. Nebula,0.13212625397602154,Marvel Super Heroes,0.14639915178207324,LU,1,2,1
9278,5-12,12.1878,16.82623813551358,89.0,4.337640663742107,9,76089.0,0.16760459995106436,Mighty Micros: Scarlet Spider vs. Sandman,0.13212625397602154,Marvel Super Heroes,0.14639915178207324,LU,1,1,1
9279,10+,487.9878,38.0,601.0,4.4,13,31313.0,Challenging,LEGO® MINDSTORMS® EV3,4.3,MINDSTORMS®,3.7,LU,0.1578174700269146,0.1864448250550526,0.1846505179022918
9280,10-21,243.9878,1.0,1.0,5.0,0,45500.0,Average,EV3 Intelligent Brick,4.0,MINDSTORMS®,3.0,LU,0.1578174700269146,0.1864448250550526,0.1846505179022918
9281,10-21,134.18779999999998,6.0,1.0,4.0,0,45501.0,Very Easy,EV3 Rechargeable DC Battery,4.3,MINDSTORMS®,3.0,LU,0.1578174700269146,0.1864448250550526,0.1846505179022918
9282,10-21,42.6878,16.82623813551358,1.0,4.337640663742107,0,45505.0,0.16760459995106436,EV3 Gyro Sensor,0.13212625397602154,MINDSTORMS®,0.14639915178207324,LU,0.1578174700269146,0.1864448250550526,0.1846505179022918
9283,10+,42.6878,4.0,1.0,3.0,0,45504.0,Challenging,EV3 Ultrasonic Sensor,3.5,MINDSTORMS®,4.0,LU,0.1578174700269146,0.1864448250550526,0.1846505179022918
9284,10-21,42.6878,1.0,1.0,5.0,0,45506.0,Very Easy,EV3 Color Sensor,5.0,MINDSTORMS®,5.0,LU,0.1578174700269146,0.1864448250550526,0.1846505179022918
9285,10-21,42.6878,16.82623813551358,1.0,4.337640663742107,0,45509.0,0.16760459995106436,EV3 Infrared Sensor,0.13212625397602154,MINDSTORMS®,0.14639915178207324,LU,0.1578174700269146,0.1864448250550526,0.1846505179022918
9286,10+,42.6878,3.0,1.0,5.0,0,45508.0,Average,EV3 Infrared Beacon,5.0,MINDSTORMS®,3.3,LU,0.1578174700269146,0.1864448250550526,0.1846505179022918
9287,8+,36.5878,2.0,1.0,5.0,0,45517.0,Very Easy,Transformer 10V DC,4.0,MINDSTORMS®,2.5,LU,0.1578174700269146,0.1864448250550526,0.1846505179022918
9288,10-21,36.5878,2.0,1.0,5.0,0,45502.0,0.16760459995106436,EV3 Large Servo Motor,5.0,MINDSTORMS®,5.0,LU,0.1578174700269146,0.1864448250550526,0.1846505179022918
9289,10-21,32.9278,1.0,1.0,5.0,0,45503.0,Easy,EV3 Medium Servo Motor,5.0,MINDSTORMS®,0.14639915178207324,LU,0.1578174700269146,0.1864448250550526,0.1846505179022918
9290,10-21,24.3878,16.82623813551358,1.0,4.337640663742107,0,45507.0,0.16760459995106436,EV3 Touch Sensor,0.13212625397602154,MINDSTORMS®,0.14639915178207324,LU,0.1578174700269146,0.1864448250550526,0.1846505179022918
9291,10-21,21.9478,16.82623813551358,7.0,4.337640663742107,0,45514.0,0.16760459995106436,EV3 Cable Pack,0.13212625397602154,MINDSTORMS®,0.14639915178207324,LU,0.1578174700269146,0.1864448250550526,0.1846505179022918
9292,12+,329.3878,11.0,2863.0,4.3,4,21137.0,Challenging,The Mountain Cave,4.5,Minecraft™,4.2,LU,12,20,11
